DATASET;%TRAININGDATA;%DEFECTTRAIN;%DEFECTTEST;CLASSIFIER;TP;FP;TN;FN;PRECISION;RECALL;ROC;KAPPA
AVRO RUN BEST FIRST ;0.065740511;0.022641509;0.057692308;CostSensitiveThreshold RandomForest;0;0;147;9;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.065740511;0.022641509;0.057692308;CostSensitiveLearning NaiveBayes;0;0;147;9;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.065740511;0.022641509;0.057692308;CostSensitiveThreshold NaiveBayes;0;0;147;9;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.065740511;0.022641509;0.057692308;CostSensitiveLearning IBK;0;0;147;9;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.065740511;0.022641509;0.057692308;CostSensitiveThreshold IBK;0;0;147;9;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.104440585;0.035629454;0.056962025;Random Forest;0;0;149;9;0;0;0.809470544;0.00000
AVRO RUN BEST FIRST ;0.104440585;0.035629454;0.056962025;IBK;0;0;149;9;0;0;0.553691275;0.00000
AVRO RUN BEST FIRST ;0.104440585;0.035629454;0.056962025;CostSensitiveLearning RandomForest;0;0;149;9;0;0;0.821029083;0.00000
AVRO RUN BEST FIRST ;0.104440585;0.035629454;0.056962025;CostSensitiveThreshold RandomForest;0;0;149;9;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.104440585;0.035629454;0.056962025;CostSensitiveLearning IBK;0;0;149;9;0;0;0.553691275;0.00000
AVRO RUN BEST FIRST ;0.104440585;0.035629454;0.056962025;CostSensitiveThreshold IBK;0;0;149;9;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.143636815;0.041450777;0.056962025;CostSensitiveLearning RandomForest;0;0;149;9;0;0;0.875093214;0.00000
AVRO RUN BEST FIRST ;0.143636815;0.041450777;0.056962025;CostSensitiveThreshold RandomForest;0;0;149;9;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.182833044;0.044776119;0.052631579;CostSensitiveLearning RandomForest;0;0;162;9;0;0;0.999657064;0.00000
AVRO RUN BEST FIRST ;0.225254279;0.046255507;0.039130435;CostSensitiveLearning RandomForest;0;0;221;9;0;0;0.853946707;0.00000
AVRO RUN BEST FIRST ;0.282312081;0.044815466;0.037656904;CostSensitiveLearning RandomForest;0;0;230;9;0;0;0.871980676;0.00000
AVRO RUN BEST FIRST ;0.282312081;0.044815466;0.037656904;CostSensitiveThreshold RandomForest;0;0;230;9;0;0;0.5;0.00000
AVRO RUN BEST FIRST ;0.34160258;0.043572985;0.037878788;CostSensitiveLearning RandomForest;0;0;254;10;0;0;0.63523622;0.00000
