BOOKKEEPER-475,2012-11-21,,4,3
BOOKKEEPER-474,2012-11-21,,4,3
BOOKKEEPER-471,2012-11-19,,4,3
BOOKKEEPER-470,2012-11-19,,4,3
BOOKKEEPER-469,2012-11-19,,4,3
BOOKKEEPER-468,2012-11-19,,4,3
BOOKKEEPER-467,2012-11-19,,4,3
BOOKKEEPER-466,2012-11-19,,4,3
BOOKKEEPER-465,2012-11-14,[4],4,3
BOOKKEEPER-461,2012-11-11,,4,3
BOOKKEEPER-458,2012-11-06,,4,3
BOOKKEEPER-457,2012-11-06,[2],4,3
BOOKKEEPER-454,2012-11-02,,4,3
BOOKKEEPER-447,2012-10-30,[4],4,3
BOOKKEEPER-446,2012-10-29,[4],6,3
BOOKKEEPER-442,2012-10-25,[2;4],4,3
BOOKKEEPER-441,2012-10-24,[4],4,3
BOOKKEEPER-439,2012-10-19,[2;4],4,3
BOOKKEEPER-436,2012-10-16,,4,3
BOOKKEEPER-434,2012-10-15,,4,3
BOOKKEEPER-427,2012-10-09,[4],4,3
BOOKKEEPER-425,2012-10-09,,4,3
BOOKKEEPER-424,2012-10-07,[1;2],4,3
BOOKKEEPER-415,2012-10-04,,4,3
BOOKKEEPER-413,2012-10-01,,4,3
BOOKKEEPER-408,2012-09-17,[2],4,3
BOOKKEEPER-404,2012-09-13,,4,3
BOOKKEEPER-403,2012-09-13,[4],4,3
BOOKKEEPER-397,2012-09-10,[4],4,3
BOOKKEEPER-396,2012-09-07,[2],4,3
BOOKKEEPER-395,2012-09-06,,4,3
BOOKKEEPER-392,2012-09-04,,4,3
BOOKKEEPER-387,2012-09-04,[2],4,3
BOOKKEEPER-383,2012-08-27,[2],4,3
BOOKKEEPER-382,2012-08-25,[1;2],4,3
BOOKKEEPER-381,2012-08-25,,4,3
BOOKKEEPER-377,2012-08-23,[4],,3
BOOKKEEPER-374,2012-08-19,[4],,3
BOOKKEEPER-372,2012-08-17,,4,3
BOOKKEEPER-371,2012-08-17,,4,3
BOOKKEEPER-365,2012-08-14,[1;2],4,3
BOOKKEEPER-363,2012-08-14,[4],7,3
BOOKKEEPER-355,2012-08-08,[2;4],4,3
BOOKKEEPER-354,2012-08-07,[4],4,3
BOOKKEEPER-352,2012-07-26,[4],4,3
BOOKKEEPER-351,2012-07-23,[4],4,3
BOOKKEEPER-349,2012-07-23,[2],4,3
